status file for recon-all
Tue Dec  3 10:34:43 EST 2019
#@# MotionCor Tue Dec  3 10:34:45 EST 2019
#@# Talairach Tue Dec  3 10:34:52 EST 2019
#@# Talairach Failure Detection Tue Dec  3 10:36:07 EST 2019
#@# Nu Intensity Correction Tue Dec  3 10:36:07 EST 2019
#@# Intensity Normalization Tue Dec  3 10:37:30 EST 2019
#@# Skull Stripping Tue Dec  3 10:39:11 EST 2019
#@# EM Registration Tue Dec  3 10:52:57 EST 2019
#@# CA Normalize Tue Dec  3 11:05:40 EST 2019
#@# CA Reg Tue Dec  3 11:07:06 EST 2019
#@# SubCort Seg Tue Dec  3 13:00:54 EST 2019
#@# Merge ASeg Tue Dec  3 13:41:33 EST 2019
#@# Intensity Normalization2 Tue Dec  3 13:41:33 EST 2019
#@# Mask BFS Tue Dec  3 13:44:27 EST 2019
#@# WM Segmentation Tue Dec  3 13:44:29 EST 2019
#@# Fill Tue Dec  3 13:46:19 EST 2019
#@# Tessellate lh Tue Dec  3 13:46:55 EST 2019
#@# Tessellate rh Tue Dec  3 13:47:02 EST 2019
#@# Smooth1 lh Tue Dec  3 13:47:07 EST 2019
#@# Smooth1 rh Tue Dec  3 13:47:15 EST 2019
#@# Inflation1 lh Tue Dec  3 13:47:22 EST 2019
#@# Inflation1 rh Tue Dec  3 13:47:51 EST 2019
#@# QSphere lh Tue Dec  3 13:48:21 EST 2019
#@# QSphere rh Tue Dec  3 13:51:16 EST 2019
#@# Fix Topology Copy lh Tue Dec  3 13:54:04 EST 2019
#@# Fix Topology Copy rh Tue Dec  3 13:54:04 EST 2019
#@# Fix Topology lh Tue Dec  3 13:54:04 EST 2019
#@# Fix Topology rh Tue Dec  3 14:47:36 EST 2019
#@# Make White Surf lh Tue Dec  3 15:18:52 EST 2019
#@# Make White Surf rh Tue Dec  3 15:23:34 EST 2019
#@# Smooth2 lh Tue Dec  3 15:28:28 EST 2019
#@# Smooth2 rh Tue Dec  3 15:28:34 EST 2019
#@# Inflation2 lh Tue Dec  3 15:28:41 EST 2019
#@# Inflation2 rh Tue Dec  3 15:29:09 EST 2019
#@# Curv .H and .K lh Tue Dec  3 15:29:37 EST 2019
#@# Curv .H and .K rh Tue Dec  3 15:30:40 EST 2019
#@# Curvature Stats lh Tue Dec  3 15:31:46 EST 2019
#@# Curvature Stats rh Tue Dec  3 15:31:50 EST 2019
#@# Sphere lh Tue Dec  3 15:31:55 EST 2019
#@# Sphere rh Tue Dec  3 16:07:50 EST 2019
#@# Surf Reg lh Tue Dec  3 16:44:05 EST 2019
#@# Surf Reg rh Tue Dec  3 17:19:59 EST 2019
#@# Jacobian white lh Tue Dec  3 18:07:26 EST 2019
#@# Jacobian white rh Tue Dec  3 18:07:28 EST 2019
#@# AvgCurv lh Tue Dec  3 18:07:30 EST 2019
#@# AvgCurv rh Tue Dec  3 18:07:31 EST 2019
#@# Cortical Parc lh Tue Dec  3 18:07:33 EST 2019
#@# Cortical Parc rh Tue Dec  3 18:07:46 EST 2019
#@# Make Pial Surf lh Tue Dec  3 18:07:59 EST 2019
#@# Make Pial Surf rh Tue Dec  3 18:20:18 EST 2019
#@# Surf Volume lh Tue Dec  3 18:32:39 EST 2019
#@# Surf Volume rh Tue Dec  3 18:32:42 EST 2019
#@# Cortical ribbon mask Tue Dec  3 18:32:45 EST 2019
#@# Parcellation Stats lh Tue Dec  3 18:41:54 EST 2019
#@# Parcellation Stats rh Tue Dec  3 18:42:54 EST 2019
#@# Cortical Parc 2 lh Tue Dec  3 18:43:56 EST 2019
#@# Cortical Parc 2 rh Tue Dec  3 18:44:12 EST 2019
#@# Parcellation Stats 2 lh Tue Dec  3 18:44:29 EST 2019
#@# Parcellation Stats 2 rh Tue Dec  3 18:45:01 EST 2019
#@# Cortical Parc 3 lh Tue Dec  3 18:45:33 EST 2019
#@# Cortical Parc 3 rh Tue Dec  3 18:45:47 EST 2019
#@# Parcellation Stats 3 lh Tue Dec  3 18:46:00 EST 2019
#@# Parcellation Stats 3 rh Tue Dec  3 18:46:30 EST 2019
#@# WM/GM Contrast lh Tue Dec  3 18:47:01 EST 2019
#@# WM/GM Contrast rh Tue Dec  3 18:47:05 EST 2019
#@# Relabel Hypointensities Tue Dec  3 18:47:10 EST 2019
#@# AParc-to-ASeg aparc Tue Dec  3 18:47:30 EST 2019
#@# AParc-to-ASeg a2009s Tue Dec  3 18:51:26 EST 2019
#@# AParc-to-ASeg DKTatlas Tue Dec  3 18:55:22 EST 2019
#@# APas-to-ASeg Tue Dec  3 18:59:17 EST 2019
#@# ASeg Stats Tue Dec  3 18:59:23 EST 2019
#@# WMParc Tue Dec  3 19:02:47 EST 2019
#@# BA_exvivo Labels lh Tue Dec  3 19:11:02 EST 2019
#@# BA_exvivo Labels rh Tue Dec  3 19:15:11 EST 2019
recon-all -s sub-01 finished without error at Tue Dec  3 19:19:24 EST 2019
